,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin B-6 mg,Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids Cholesterol mg
Squab_(pigeon)_light_meat_without_skin_raw,72.82,134.0,561.0,21.76,4.52,1.28,0.0,0.0,10.0,2.31,28.0,228.0,260.0,55.0,2.7,0.433,0.018,5.1,0.24,0.243,7.322,0.53,0.47,17.0,17.0,57.0,90.0
Duck_domesticated_liver_raw,71.78,136.0,569.0,18.74,4.64,1.32,3.53,0.0,11.0,30.53,24.0,269.0,230.0,140.0,3.07,5.962,0.258,4.5,0.562,0.892,6.5,0.76,54.0,11984.0,11984.0,39907.0,515.0
Pheasant_breast_meat_only_raw,72.4,133.0,556.0,24.37,3.25,1.3,0.0,0.0,3.0,0.79,21.0,200.0,242.0,33.0,0.63,0.046,0.015,6.0,0.081,0.119,8.554,0.74,0.84,44.0,44.0,147.0,58.0
Duck_domesticated_meat_and_skin_raw,48.5,404.0,1690.0,11.49,39.34,0.68,0.0,0.0,11.0,2.4,15.0,139.0,209.0,63.0,1.36,0.236,0.017,2.8,0.197,0.21,3.934,0.19,0.25,50.0,50.0,168.0,76.0
Turkey_dark_meat_from_whole_meat_and_skin_with_added_solution_raw,70.55,169.0,707.0,17.84,10.83,1.08,0.15,0.0,14.0,0.83,18.0,172.0,202.0,161.0,2.3,0.094,0.01,0.0,0.051,0.216,5.235,0.37,1.81,28.0,28.0,93.0,82.0
Chicken_broilers_or_fryers_dark_meat_thigh_meat_only_raw,76.22,121.0,507.0,19.66,4.12,0.95,0.0,0.0,7.0,0.81,23.0,185.0,242.0,95.0,1.58,0.062,0.013,0.0,0.088,0.196,5.557,0.451,0.61,7.0,7.0,24.0,94.0
Chicken_broilers_or_fryers_separable_fat_raw,28.91,629.0,2632.0,3.73,67.95,0.28,0.0,0.0,7.0,0.7,6.0,54.0,64.0,32.0,0.45,0.029,0.014,0.0,0.021,0.059,2.041,0.02,0.07,125.0,125.0,509.0,58.0
Emu_outside_drum_raw,74.87,103.0,430.0,23.08,0.48,1.0,0.0,0.0,3.0,4.5,29.0,225.0,320.0,100.0,4.5,0.199,0.025,0.0,0.258,0.442,7.245,0.676,6.92,0.0,0.0,0.0,78.0
Turkey_retail_parts_wing_meat_and_skin_raw,66.78,202.0,846.0,19.53,13.79,0.81,0.05,0.0,8.0,0.68,17.0,139.0,192.0,67.0,2.14,0.049,0.007,0.0,0.033,0.121,5.61,0.538,0.91,30.0,30.0,100.0,84.0
Chicken_skin_(drumsticks_and_thighs)_with_added_solution_raw,50.37,386.0,1614.0,11.11,37.9,0.6,0.01,0.0,7.0,0.51,7.0,88.0,101.0,139.0,0.62,0.03,0.006,0.0,0.035,0.06,2.655,0.113,0.68,56.0,56.0,186.0,113.0
Ostrich_ground_raw,71.07,165.0,690.0,20.22,8.7,0.73,0.0,0.0,7.0,2.91,20.0,199.0,291.0,72.0,3.51,0.128,0.017,0.0,0.182,0.267,4.377,0.475,4.61,0.0,0.0,0.0,71.0
Chicken_dark_meat_drumstick_meat_only_with_added_solution_raw,77.71,106.0,444.0,19.19,3.26,0.99,0.0,0.0,9.0,0.72,16.0,143.0,192.0,152.0,2.0,0.061,0.01,0.0,0.098,0.243,4.94,0.385,0.42,8.0,8.0,28.0,92.0
Turkey_retail_parts_thigh_meat_and_skin_raw,71.28,161.0,672.0,19.54,9.16,0.94,0.0,0.0,4.0,1.31,20.0,161.0,239.0,75.0,2.6,0.076,0.006,0.0,0.053,0.268,5.599,0.419,2.13,29.0,29.0,97.0,83.0
Turkey_wing_from_whole_bird_meat_only_raw,74.89,114.0,479.0,23.66,1.48,1.04,0.14,0.0,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,0.0,0.042,0.145,9.924,0.813,0.63,6.0,6.0,20.0,57.0
Turkey_back_from_whole_bird_meat_and_skin_with_added_solution_raw,66.93,206.0,864.0,16.86,15.41,1.02,0.15,0.0,14.0,0.78,17.0,159.0,185.0,157.0,2.04,0.085,0.009,0.0,0.045,0.194,4.887,0.333,1.65,38.0,38.0,126.0,84.0
Chicken_capons_meat_and_skin_and_giblets_and_neck_raw,63.66,232.0,971.0,18.51,16.9,0.94,0.08,0.0,11.0,1.41,21.0,181.0,213.0,47.0,1.32,0.063,0.028,2.6,0.065,0.183,7.074,0.36,1.01,272.0,272.0,905.0,87.0
Chicken_broilers_or_fryers_skin_only_raw,54.22,349.0,1460.0,13.33,32.35,0.41,0.0,0.0,11.0,1.08,13.0,100.0,103.0,63.0,0.93,0.041,0.019,0.0,0.033,0.069,3.987,0.09,0.23,76.0,76.0,262.0,109.0
Chicken_skin_(drumsticks_and_thighs)_raw,44.91,440.0,1839.0,9.58,44.23,0.49,0.79,0.0,6.0,0.37,8.0,95.0,119.0,51.0,0.65,0.038,0.014,0.0,0.04,0.032,2.565,0.116,0.65,59.0,59.0,196.0,105.0
Squab_(pigeon)_meat_and_skin_raw,56.6,294.0,1230.0,18.47,23.8,1.4,0.0,0.0,12.0,3.54,22.0,248.0,199.0,54.0,2.2,0.437,0.019,5.2,0.212,0.224,6.046,0.41,0.4,73.0,73.0,243.0,95.0
Chicken_cornish_game_hens_meat_only_raw,75.84,116.0,485.0,20.04,3.33,0.9,0.0,0.0,12.0,0.74,21.0,160.0,269.0,68.0,1.31,0.053,0.017,0.6,0.092,0.216,6.744,0.385,0.4,22.0,22.0,75.0,91.0
Turkey_from_whole_light_meat_meat_only_with_added_solution_raw,76.42,101.0,423.0,21.54,1.66,1.42,0.0,0.0,14.0,0.54,25.0,236.0,242.0,206.0,1.3,0.052,0.007,0.0,0.033,0.145,9.924,0.775,0.63,6.0,6.0,20.0,54.0
Turkey_whole_meat_only_with_added_solution_raw,76.25,105.0,439.0,20.87,2.39,1.35,0.14,0.0,14.0,0.64,24.0,223.0,237.0,194.0,1.7,0.068,0.008,0.0,0.041,0.175,8.69,0.672,1.05,8.0,8.0,27.0,61.0
