,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_round_top_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.66,124.0,518.0,23.59,3.26,1.12,0.0,0.0,13.0,2.35,56.0,0.0,1.253,0.003,0.075,0.726,0.396,1.484,0.106,1.324,0.232,0.165,0.005,0.035,61.0
"Beef_loin_top_loin_steak_boneless_lip_off_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",70.15,151.0,633.0,22.79,6.67,1.02,0.0,0.0,14.0,1.73,46.0,0.0,2.91,0.006,0.192,1.641,0.939,3.25,0.241,2.898,0.42,0.345,0.012,0.038,63.0
Beef_New_Zealand_imported_cube_roll_separable_lean_and_fat_raw,63.38,225.0,941.0,18.22,16.31,0.83,1.31,0.0,5.0,1.91,43.0,0.0,6.734,0.011,0.394,3.321,2.751,5.524,0.425,4.999,0.422,0.224,0.119,0.017,60.0
"Beef_loin_top_loin_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",61.49,237.0,992.0,19.32,17.1,0.79,0.0,0.0,6.0,1.61,54.0,0.0,6.91,0.03,0.55,4.2,2.07,7.41,0.83,6.55,0.61,0.4,0.19,0.02,82.0
Beef_Australian_imported_grass-fed_loin_top_sirloin_cap-off_steakslashroast_boneless_separable_lean_and_fat_raw,73.65,127.0,532.0,21.77,4.45,1.1,0.01,0.0,5.0,2.51,59.0,0.0,1.859,0.006,0.098,0.981,0.684,1.73,0.111,1.596,0.351,0.176,0.048,0.061,55.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",69.24,166.0,696.0,21.22,9.04,0.97,0.0,0.0,9.0,1.96,64.0,0.0,3.544,0.006,0.235,1.984,1.159,4.13,0.292,3.656,0.436,0.358,0.009,0.046,64.0
Beef_Australian_imported_Wagyu_loin_tenderloin_steakslashroast_boneless_separable_lean_only_Aust._marble_score_9_raw,61.91,237.0,993.0,18.87,17.73,0.93,0.57,0.0,4.0,2.41,62.0,0.0,7.377,0.011,0.469,4.406,2.178,8.17,0.539,7.513,0.698,0.575,0.038,0.066,74.0
"Beef_rib_eye_small_end_(ribs_10-12)_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",58.03,274.0,1146.0,17.51,22.07,0.85,0.0,0.0,10.0,1.87,56.0,0.0,9.0,0.05,0.71,5.41,2.76,9.58,1.08,8.47,0.77,0.51,0.24,0.02,68.0
"Beef_short_loin_porterhouse_steak_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",69.56,161.0,674.0,22.13,7.39,1.01,0.0,0.0,18.0,1.98,56.0,0.0,2.894,0.006,0.182,1.652,0.933,3.3,0.23,2.952,0.399,0.317,0.014,0.042,59.0
"Beef_brisket_flat_half_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",74.26,124.0,519.0,21.45,3.61,1.0,0.0,0.0,18.0,1.83,76.0,0.0,1.34,0.003,0.095,0.802,0.441,1.514,0.132,1.38,0.156,0.125,0.012,0.018,66.0
