,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_rib_eye_steakslashroast_boneless_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",63.08,230.0,964.0,19.55,16.9,0.91,0.0,0.0,7.0,1.64,50.0,0.0,7.515,0.012,0.503,3.993,2.642,8.092,0.537,7.26,0.825,0.716,0.022,0.052,74.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",66.55,195.0,817.0,20.06,12.78,0.91,0.0,0.0,6.0,1.7,65.0,0.0,5.034,0.008,0.333,2.771,1.686,6.01,0.441,5.307,0.596,0.491,0.015,0.056,65.0
"Beef_top_loin_petite_roastslashfilet_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",66.4,187.0,784.0,21.1,11.3,0.9,0.3,0.0,6.0,2.66,89.0,0.0,3.547,0.009,0.231,1.957,1.223,4.801,0.265,4.336,0.358,0.302,0.018,0.037,69.0
"Beef_tenderloin_steak_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",71.11,148.0,618.0,22.06,5.93,1.05,0.0,0.0,22.0,1.6,55.0,0.0,2.191,0.0,0.15,1.315,0.726,2.384,0.183,2.198,0.256,0.206,0.013,0.037,64.0
"Beef_top_sirloin_steak_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",72.91,131.0,549.0,22.09,4.08,1.14,0.0,0.0,25.0,1.61,56.0,0.0,1.508,0.0,0.103,0.905,0.5,1.641,0.126,1.513,0.19,0.142,0.009,0.025,60.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",60.35,260.0,1089.0,17.92,20.96,0.84,0.0,0.0,10.0,1.73,57.0,0.0,9.265,0.016,0.631,4.96,3.209,9.929,0.683,8.879,0.921,0.809,0.029,0.045,70.0
Beef_carcass_separable_lean_and_fat_select_raw,58.21,278.0,1163.0,17.48,22.55,0.82,0.0,0.0,8.0,1.85,59.0,0.0,9.16,0.05,0.7,5.43,2.75,9.82,1.09,8.55,0.86,0.57,0.23,0.05,74.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.81,116.0,487.0,23.41,2.52,1.09,0.0,0.0,13.0,1.37,50.0,0.0,1.011,0.002,0.066,0.578,0.317,1.136,0.084,1.004,0.211,0.141,0.005,0.034,62.0
"Beef_round_tip_round_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",66.86,178.0,745.0,19.74,10.39,0.96,0.0,0.0,5.0,2.02,58.0,0.0,4.1,0.02,0.32,2.48,1.25,4.45,0.51,3.93,0.41,0.27,0.12,0.02,64.0
"Beef_rib_eye_steak_boneless_lip_off_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",64.83,208.0,869.0,20.12,14.14,0.91,0.0,0.0,7.0,1.72,52.0,0.0,6.29,0.01,0.421,3.342,2.211,6.773,0.449,6.077,0.691,0.599,0.019,0.044,61.0
"Beef_chuck_shoulder_clod_shoulder_tender_medallion_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.79,142.0,593.0,20.93,5.79,0.9,0.0,0.0,5.0,2.39,60.0,0.0,1.988,0.0,0.144,1.106,0.642,1.979,0.134,1.814,0.337,0.278,0.011,0.048,58.0
"Beef_rib_eye_steakslashroast_boneless_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",69.65,161.0,674.0,21.62,8.29,0.99,0.0,0.0,7.0,2.04,56.0,0.0,3.057,0.005,0.184,1.699,1.018,3.576,0.215,3.204,0.467,0.372,0.007,0.064,63.0
"Beef_top_sirloin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",67.32,189.0,789.0,20.68,11.13,1.08,0.0,0.0,24.0,1.51,53.0,0.0,4.491,0.024,0.352,2.704,1.376,4.765,0.543,4.207,0.423,0.272,0.133,0.018,72.0
"Beef_loin_top_loin_steak_boneless_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",69.94,149.0,622.0,22.93,6.34,1.01,0.0,0.0,15.0,1.93,46.0,0.0,2.515,0.006,0.164,1.467,0.766,2.948,0.221,2.625,0.393,0.309,0.009,0.049,58.0
Beef_Australian_imported_grass-fed_round_bottom_round_steakslashroast_boneless_separable_lean_and_fat_raw,72.33,140.0,586.0,21.13,6.16,1.04,0.01,0.0,5.0,2.08,70.0,0.0,2.51,0.006,0.166,1.41,0.811,2.634,0.225,2.354,0.377,0.2,0.064,0.05,55.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",69.95,141.0,589.0,22.33,5.04,0.99,0.0,0.0,24.0,1.6,56.0,0.0,1.864,0.0,0.128,1.119,0.618,2.029,0.156,1.87,0.218,0.176,0.011,0.031,75.0
Beef_ground_95%_lean_meat_slash_5%_fat_raw,73.24,137.0,571.0,21.41,5.0,1.05,0.0,0.0,9.0,2.38,66.0,0.0,2.182,0.005,0.125,1.156,0.813,1.994,0.154,0.22,0.257,0.185,0.036,0.035,62.0
"Beef_ribeye_cap_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",67.31,180.0,754.0,19.7,10.6,0.89,1.51,0.0,6.0,2.64,88.0,0.0,4.066,0.005,0.254,2.324,1.364,4.735,0.31,4.289,0.409,0.324,0.016,0.068,64.0
"Beef_short_loin_porterhouse_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",65.49,208.0,870.0,20.69,13.27,0.95,0.0,0.0,19.0,2.13,42.0,0.0,5.696,0.011,0.407,3.142,1.881,6.119,0.466,5.41,0.613,0.521,0.024,0.034,60.0
Beef_Australian_imported_grass-fed_rib_ribeye_steakslashroast_lip-on_boneless_separable_lean_and_fat_raw,64.6,217.0,906.0,19.8,15.21,0.88,0.11,0.0,5.0,1.74,60.0,0.0,6.782,0.011,0.456,3.715,2.288,6.344,0.444,5.775,0.467,0.314,0.087,0.023,52.0
Beef_retail_cuts_separable_fat_raw,20.21,674.0,2820.0,8.21,70.89,0.28,0.0,0.0,26.0,0.72,26.0,0.0,29.45,0.21,2.39,17.73,8.81,30.94,3.88,26.95,2.56,1.49,1.07,0.0,99.0
Beef_Australian_imported_Wagyu_seam_fat_Aust._marble_score_4slash5_raw,30.44,594.0,2484.0,6.0,63.3,0.32,0.0,0.0,2.0,0.97,32.0,0.0,23.155,0.035,1.649,12.894,7.438,30.887,2.053,28.174,1.555,1.349,0.143,0.022,95.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.81,116.0,487.0,23.41,2.52,1.09,0.0,0.0,13.0,1.37,50.0,0.0,1.011,0.002,0.066,0.578,0.317,1.136,0.084,1.004,0.211,0.141,0.005,0.034,62.0
"Beef_round_bottom_round_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",67.44,187.0,782.0,20.68,10.93,0.99,0.0,0.0,23.0,1.63,60.0,0.0,4.303,0.024,0.335,2.625,1.284,4.723,0.556,4.151,0.417,0.272,0.124,0.022,72.0
"Beef_brisket_flat_half_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",73.76,127.0,530.0,21.57,3.84,1.01,0.0,0.0,16.0,1.92,74.0,0.0,1.425,0.003,0.101,0.853,0.469,1.611,0.14,1.468,0.166,0.133,0.013,0.02,65.0
"Beef_round_knuckle_tip_center_steak_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.05,150.0,629.0,20.74,6.85,0.96,0.0,0.0,5.0,1.94,54.0,0.0,2.3,0.0,0.164,1.392,0.645,2.497,0.18,2.279,0.321,0.259,0.011,0.051,58.0
Beef_Australian_imported_Wagyu_loin_top_loin_steakslashroast_boneless_separable_lean_and_fat_Aust._marble_score_4slash5_raw,57.21,289.0,1210.0,17.67,24.2,0.8,0.17,0.0,4.0,1.69,56.0,0.0,8.928,0.015,0.663,5.188,2.647,12.179,0.87,11.05,0.642,0.541,0.044,0.035,63.0
"Beef_loin_tenderloin_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.17,144.0,601.0,21.91,6.21,1.09,0.0,0.0,14.0,2.46,42.0,0.0,2.166,0.005,0.142,1.17,0.746,2.302,0.158,2.058,0.414,0.32,0.013,0.051,62.0
"Beef_round_outside_round_bottom_round_steak_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.19,142.0,594.0,21.59,5.53,1.05,0.0,0.0,5.0,2.53,62.0,0.0,2.0,0.0,0.155,1.227,0.529,2.503,0.235,2.213,0.309,0.249,0.003,0.058,61.0
Beef_New_Zealand_imported_variety_meats_and_by-products_tripe_uncooked_raw,82.19,77.0,323.0,14.86,1.98,1.1,0.0,0.0,112.0,4.44,81.0,0.0,1.02,0.001,0.049,0.449,0.45,0.77,0.055,0.703,0.17,0.067,0.022,0.027,117.0
"Beef_flank_steak_separable_lean_only_trimmed_to_0""_fat_select_raw",72.84,137.0,571.0,21.43,5.0,0.99,0.0,0.0,21.0,1.54,53.0,0.0,2.074,0.007,0.141,1.336,0.584,1.967,0.168,1.793,0.195,0.121,0.047,0.027,60.0
"Beef_rib_eye_steakslashroast_boneless_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",61.77,244.0,1021.0,18.85,18.73,0.89,0.0,0.0,8.0,1.74,50.0,0.0,8.251,0.014,0.55,4.381,2.903,8.83,0.58,7.927,0.889,0.772,0.025,0.056,70.0
Beef_grass-fed_strip_steaks_lean_only_raw,73.42,117.0,488.0,23.07,2.69,1.69,0.0,0.0,9.0,1.85,55.0,0.0,1.032,0.001,0.061,0.575,0.354,0.995,0.07,0.91,0.108,0.08,0.015,0.006,55.0
"Beef_round_outside_round_bottom_round_steak_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",73.28,129.0,540.0,22.15,3.83,1.06,0.0,0.0,5.0,2.91,62.0,0.0,1.4,0.0,0.112,0.824,0.4,1.63,0.146,1.447,0.309,0.247,0.008,0.054,61.0
"Beef_chuck_shoulder_clod_shoulder_tender_medallion_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.87,145.0,606.0,20.51,6.36,0.91,0.0,0.0,5.0,2.01,59.0,0.0,2.328,0.0,0.164,1.374,0.683,2.43,0.173,2.215,0.326,0.266,0.01,0.05,56.0
Beef_Australian_imported_grass-fed_ground_85%_lean_slash_15%_fat_raw,63.56,234.0,979.0,17.72,18.12,0.82,0.0,0.0,6.0,1.79,62.0,0.0,7.938,0.013,0.539,4.363,2.678,7.969,0.626,7.165,0.699,0.503,0.126,0.03,66.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.88,127.0,530.0,23.26,3.74,1.1,0.0,0.0,13.0,1.47,52.0,0.0,1.308,0.003,0.085,0.759,0.404,1.547,0.123,1.361,0.263,0.19,0.007,0.038,58.0
Beef_New_Zealand_imported_subcutaneous_fat_raw,19.91,685.0,2868.0,8.5,72.38,0.1,0.0,0.0,20.0,0.38,26.0,0.0,31.514,0.048,1.97,14.94,13.3,24.702,1.922,22.34,1.68,1.143,0.51,0.0,64.0
"Beef_loin_top_loin_steak_boneless_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",65.33,199.0,834.0,21.29,12.68,0.95,0.0,0.0,16.0,1.8,44.0,0.0,5.491,0.011,0.381,3.066,1.791,6.204,0.483,5.477,0.657,0.557,0.022,0.045,62.0
Beef_New_Zealand_imported_rump_centre_separable_lean_only_raw,72.22,141.0,592.0,21.74,6.05,0.97,0.0,0.0,4.0,2.3,49.0,0.0,1.999,0.002,0.085,1.078,0.739,2.045,0.14,1.876,0.295,0.14,0.067,0.025,55.0
"Beef_chuck_eye_Country-Style_ribs_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",65.78,210.0,880.0,18.87,14.99,0.86,0.0,0.0,15.0,2.16,76.0,0.0,6.387,0.0,0.435,3.411,2.339,7.274,0.446,6.59,0.614,0.538,0.031,0.038,70.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",61.47,248.0,1037.0,18.44,19.34,0.88,0.0,0.0,11.0,1.76,55.0,0.0,8.844,0.016,0.604,4.684,3.122,9.399,0.643,8.41,0.886,0.78,0.029,0.042,68.0
Beef_New_Zealand_imported_bolar_blade_separable_lean_only_raw,73.11,129.0,539.0,22.09,4.49,0.98,0.0,0.0,4.0,2.06,55.0,0.0,1.347,0.002,0.066,0.777,0.451,1.68,0.146,1.5,0.242,0.095,0.046,0.03,56.0
"Beef_round_tip_round_roast_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.01,151.0,630.0,20.48,7.01,1.0,0.0,0.0,19.0,1.69,55.0,0.0,2.778,0.016,0.218,1.678,0.844,3.011,0.351,2.65,0.276,0.181,0.085,0.011,62.0
"Beef_round_top_round_steak_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",72.63,129.0,540.0,23.13,3.37,1.13,0.0,0.0,22.0,1.97,64.0,0.0,1.154,0.0,0.079,0.732,0.343,1.42,0.139,1.279,0.145,0.113,0.008,0.024,61.0
"Beef_loin_tenderloin_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.44,139.0,583.0,21.94,5.74,1.11,0.0,0.0,13.0,2.5,44.0,0.0,1.956,0.004,0.125,1.078,0.655,2.122,0.145,1.899,0.42,0.321,0.012,0.056,61.0
"Beef_chuck_under_blade_pot_roast_or_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",67.76,187.0,783.0,19.2,12.27,0.98,0.0,0.0,12.0,2.27,77.0,0.0,5.473,0.0,0.388,2.965,1.943,6.229,0.405,5.621,0.557,0.493,0.016,0.042,67.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",72.93,134.0,560.0,21.38,5.36,0.98,0.0,0.0,5.0,2.0,55.0,0.0,1.875,0.003,0.115,1.09,0.606,2.354,0.142,2.152,0.189,0.154,0.007,0.027,67.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",73.4,120.0,503.0,23.28,3.0,1.08,0.0,0.0,13.0,1.37,50.0,0.0,1.229,0.002,0.082,0.697,0.39,1.383,0.105,1.219,0.231,0.159,0.006,0.034,62.0
"Beef_chuck_eye_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",70.25,153.0,641.0,21.29,7.56,0.94,0.0,0.0,15.0,2.28,70.0,0.0,3.267,0.0,0.197,1.772,1.192,3.71,0.226,3.372,0.372,0.319,0.014,0.039,67.0
"Beef_chuck_mock_tender_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",73.2,127.0,531.0,21.36,4.6,1.25,0.0,0.0,11.0,2.51,83.0,0.0,1.884,0.0,0.101,1.046,0.671,2.328,0.149,2.111,0.348,0.286,0.001,0.061,67.0
Beef_variety_meats_and_by-products_lungs_raw,79.38,92.0,385.0,16.2,2.5,0.98,0.0,0.0,10.0,7.95,198.0,38.5,0.86,0.0,0.04,0.45,0.23,0.64,0.09,0.47,0.34,0.17,0.02,0.14,242.0
"Beef_chuck_eye_Country-Style_ribs_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",71.19,146.0,613.0,20.96,6.95,0.96,0.0,0.0,15.0,2.24,82.0,0.0,3.03,0.0,0.183,1.653,1.091,3.55,0.218,3.222,0.34,0.292,0.013,0.034,70.0
Beef_New_Zealand_imported_eye_round_separable_lean_and_fat_raw,72.9,129.0,540.0,19.88,4.92,1.0,1.32,0.0,4.0,1.37,39.0,0.0,1.573,0.002,0.088,0.863,0.558,1.549,0.139,1.376,0.232,0.106,0.047,0.026,48.0
USDA_Commodity_beef_patties_with_VPP_frozen_raw,63.35,225.0,941.0,15.21,16.48,1.12,3.84,1.3,29.0,2.66,55.0,0.0,5.872,0.015,0.4,3.262,1.652,7.648,0.769,6.649,0.573,0.452,0.056,0.033,33.0
"Beef_top_loin_petite_roastslashfilet_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",65.1,199.0,833.0,20.8,12.6,0.9,0.6,0.0,6.0,2.66,89.0,0.0,4.043,0.01,0.267,2.239,1.375,5.414,0.301,4.889,0.425,0.359,0.019,0.046,65.0
"Beef_tenderloin_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",59.52,274.0,1146.0,18.15,21.83,0.88,0.0,0.0,7.0,2.35,49.0,0.0,8.96,0.04,0.67,5.23,2.77,9.26,1.0,8.14,0.87,0.56,0.25,0.04,70.0
"Beef_chuck_mock_tender_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",73.71,123.0,514.0,21.3,4.17,1.19,0.0,0.0,11.0,2.44,81.0,0.0,1.7,0.0,0.093,0.952,0.595,2.1,0.133,1.906,0.35,0.291,0.001,0.059,67.0
"Beef_loin_tenderloin_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",71.05,153.0,639.0,21.5,7.4,1.1,0.0,0.0,14.0,2.52,44.0,0.0,2.687,0.005,0.177,1.49,0.889,2.956,0.212,2.632,0.496,0.39,0.014,0.059,61.0
"Beef_top_loin_petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",69.79,149.0,625.0,22.5,6.48,1.0,0.23,0.0,5.0,2.27,66.0,0.0,2.419,0.004,0.156,1.359,0.81,2.866,0.181,2.592,0.257,0.202,0.009,0.046,65.0
"Beef_round_bottom_round_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",66.32,198.0,829.0,20.71,12.15,1.02,0.0,0.0,16.0,1.84,53.0,0.0,4.784,0.027,0.372,2.919,1.428,5.251,0.619,4.615,0.464,0.302,0.138,0.024,75.0
"Beef_chuck_blade_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",62.83,230.0,962.0,17.37,17.33,0.84,0.0,0.0,10.0,2.07,69.0,0.0,6.99,0.04,0.55,4.19,2.15,7.6,0.85,6.72,0.63,0.42,0.19,0.02,71.0
Beef_Australian_imported_grass-fed_loin_tenderloin_steakslashroast_boneless_separable_lean_and_fat_raw,71.21,151.0,631.0,20.53,7.63,1.06,0.01,0.0,4.0,2.21,62.0,0.0,3.393,0.006,0.206,1.796,1.209,3.046,0.206,2.788,0.42,0.247,0.063,0.055,50.0
"Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.66,124.0,518.0,23.59,3.26,1.12,0.0,0.0,13.0,2.35,56.0,0.0,1.253,0.003,0.075,0.726,0.396,1.484,0.106,1.324,0.232,0.165,0.005,0.035,61.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",68.31,174.0,730.0,20.87,10.11,0.94,0.0,0.0,6.0,1.73,65.0,0.0,4.014,0.007,0.273,2.2,1.365,4.561,0.334,4.028,0.475,0.387,0.014,0.045,65.0
"Beef_chuck_under_blade_pot_roast_or_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",66.0,202.0,845.0,19.15,13.93,0.98,0.0,0.0,12.0,2.13,76.0,0.0,5.896,0.0,0.424,3.216,2.071,6.794,0.451,6.107,0.588,0.515,0.021,0.045,66.0
"Beef_chuck_eye_Country-Style_ribs_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",67.17,196.0,822.0,19.1,13.33,0.91,0.0,0.0,14.0,1.97,77.0,0.0,5.805,0.0,0.41,3.104,2.1,6.482,0.391,5.877,0.591,0.525,0.028,0.032,71.0
"Beef_round_top_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.96,121.0,505.0,23.59,2.94,1.12,0.0,0.0,13.0,2.34,54.0,0.0,1.12,0.002,0.065,0.643,0.361,1.292,0.089,1.158,0.223,0.157,0.004,0.035,62.0
Beef_ground_85%_lean_meat_slash_15%_fat_raw,65.66,215.0,898.0,18.59,15.0,0.91,0.0,0.0,15.0,2.09,66.0,0.0,5.715,0.011,0.431,3.2,1.824,6.469,0.534,0.86,0.433,0.331,0.053,0.034,68.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_only_trimmed_to_0""_fat_choice_raw",68.91,171.0,717.0,20.89,9.76,0.94,0.0,0.0,6.0,1.74,67.0,0.0,3.546,0.006,0.232,2.024,1.113,4.43,0.33,3.896,0.483,0.385,0.01,0.058,64.0
"Beef_chuck_shoulder_clod_top_blade_steak_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",70.46,176.0,736.0,18.99,10.52,0.9,0.0,0.0,6.0,2.36,74.0,0.0,3.945,0.0,0.291,2.276,1.233,4.144,0.278,3.79,0.475,0.403,0.017,0.055,66.0
"Beef_loin_top_loin_steak_boneless_lip_off_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",70.63,143.0,600.0,23.07,5.67,1.02,0.0,0.0,15.0,1.84,46.0,0.0,2.345,0.005,0.152,1.36,0.723,2.711,0.2,2.42,0.381,0.3,0.009,0.046,60.0
"Beef_rib_whole_(ribs_6-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",53.85,322.0,1347.0,16.34,27.93,0.77,0.0,0.0,9.0,1.72,54.0,0.0,11.51,0.07,0.92,6.92,3.51,12.02,1.41,10.57,1.01,0.64,0.34,0.02,71.0
Beef_carcass_separable_lean_and_fat_choice_raw,57.26,291.0,1218.0,17.32,24.05,0.81,0.0,0.0,8.0,1.83,59.0,0.0,9.75,0.05,0.74,5.78,2.93,10.47,1.15,9.12,0.92,0.62,0.24,0.05,74.0
"Beef_short_loin_t-bone_steak_bone-in_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",71.86,144.0,602.0,22.41,5.34,1.02,0.0,0.0,23.0,1.77,57.0,0.0,2.152,0.005,0.145,1.214,0.686,2.282,0.162,2.039,0.298,0.224,0.008,0.038,59.0
"Beef_top_sirloin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",66.09,201.0,842.0,20.3,12.71,1.03,0.0,0.0,24.0,1.48,52.0,0.0,5.127,0.027,0.402,3.087,1.571,5.44,0.62,4.803,0.483,0.311,0.152,0.02,75.0
"Beef_loin_top_loin_steak_boneless_lip_off_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",68.75,163.0,683.0,22.43,8.17,1.0,0.0,0.0,15.0,1.83,45.0,0.0,3.478,0.007,0.234,1.972,1.111,3.941,0.297,3.503,0.48,0.393,0.014,0.045,61.0
"Beef_shank_crosscuts_separable_lean_only_trimmed_to_1slash4""_fat_choice_raw",73.03,128.0,536.0,21.75,3.85,1.44,0.0,0.0,20.0,2.32,63.0,0.0,1.28,0.0,0.09,0.77,0.37,1.76,0.16,1.52,0.15,0.11,0.01,0.03,39.0
"Beef_flank_steak_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",71.99,145.0,608.0,21.22,6.06,0.98,0.0,0.0,24.0,1.54,54.0,0.0,2.514,0.011,0.182,1.585,0.724,2.469,0.251,2.212,0.234,0.143,0.068,0.023,62.0
"Beef_round_eye_of_round_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",68.57,173.0,724.0,21.68,8.91,1.03,0.0,0.0,16.0,1.92,55.0,0.0,3.509,0.019,0.273,2.141,1.048,3.851,0.454,3.385,0.34,0.222,0.101,0.018,70.0
"Beef_round_tip_round_roast_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",71.4,156.0,652.0,20.16,7.73,0.99,0.0,0.0,15.0,1.78,51.0,0.0,3.066,0.018,0.24,1.852,0.932,3.324,0.387,2.925,0.305,0.199,0.094,0.012,63.0
"Beef_round_top_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.51,125.0,524.0,23.45,3.5,1.11,0.0,0.0,13.0,2.33,54.0,0.0,1.353,0.003,0.082,0.771,0.439,1.554,0.111,1.387,0.244,0.176,0.005,0.035,62.0
Beef_ground_90%_lean_meat_slash_10%_fat_raw,69.45,176.0,735.0,20.0,10.0,0.98,0.0,0.0,12.0,2.24,66.0,0.0,3.927,0.008,0.276,2.167,1.311,4.194,0.344,0.54,0.345,0.263,0.046,0.035,65.0
Beef_New_Zealand_imported_variety_meats_and_by-products_liver_raw,70.39,133.0,556.0,20.5,4.05,1.46,3.6,0.0,4.0,8.44,53.0,0.0,1.185,0.0,0.017,0.337,0.767,0.464,0.047,0.406,0.88,0.158,0.062,0.19,254.0
"Beef_bottom_sirloin_tri-tip_roast_separable_lean_only_trimmed_to_0""_fat_choice_raw",71.33,154.0,645.0,21.17,7.06,1.02,0.0,0.0,27.0,1.54,54.0,0.0,2.132,0.0,0.132,1.35,0.65,3.045,0.206,2.84,0.288,0.23,0.025,0.033,64.0
"Beef_plate_steak_boneless_outside_skirt_separable_lean_only_trimmed_to_0""_fat_choice_raw",65.19,212.0,886.0,18.47,15.26,0.92,0.17,0.0,5.0,3.53,68.0,0.0,5.798,0.007,0.34,2.988,2.185,6.363,0.346,5.749,0.797,0.645,0.024,0.08,70.0
"Beef_chuck_mock_tender_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",74.01,122.0,510.0,21.05,4.2,1.11,0.0,0.0,11.0,2.25,76.0,0.0,1.976,0.0,0.116,1.108,0.681,2.279,0.142,2.069,0.396,0.335,0.002,0.059,68.0
"Beef_round_tip_round_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",65.43,199.0,833.0,19.48,12.83,0.94,0.0,0.0,5.0,1.99,58.0,0.0,5.04,0.03,0.39,3.05,1.54,5.49,0.62,4.85,0.51,0.34,0.14,0.03,65.0
"Beef_tenderloin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",61.52,247.0,1036.0,19.61,18.16,0.92,0.0,0.0,23.0,1.42,50.0,0.0,8.41,0.045,0.659,5.063,2.576,8.93,1.017,7.883,0.79,0.508,0.249,0.033,85.0
Beef_variety_meats_and_by-products_kidneys_raw,77.89,99.0,413.0,17.4,3.09,1.33,0.29,0.0,13.0,4.6,182.0,9.4,0.868,0.0,0.021,0.393,0.374,0.586,0.039,0.535,0.545,0.292,0.013,0.228,411.0
"Beef_round_eye_of_round_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",70.06,159.0,666.0,21.3,7.57,0.99,0.0,0.0,24.0,1.69,62.0,0.0,2.98,0.017,0.232,1.818,0.89,3.271,0.385,2.875,0.289,0.188,0.086,0.015,66.0
"Beef_short_loin_t-bone_steak_bone-in_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",70.73,153.0,642.0,22.22,6.5,1.01,0.0,0.0,21.0,1.66,42.0,0.0,2.53,0.005,0.162,1.431,0.821,2.767,0.194,2.481,0.344,0.265,0.01,0.04,59.0
