,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
Pork_fresh_loin_country-style_ribs_separable_lean_and_fat_raw,68.22,189.0,792.0,19.34,11.82,0.95,0.0,0.0,22.0,0.85,21.0,193.0,318.0,63.0,2.78,0.078,0.011,32.3,0.0,0.375,0.253,3.082,1.609,0.539,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,0.084,1.453,0.792,2.762,0.141,2.575,0.966,0.888,0.042,0.031,74.0
Pork_fresh_loin_sirloin_(chops_or_roasts)_bone-in_separable_lean_only_raw,73.98,129.0,538.0,21.65,4.02,1.0,0.0,0.0,12.0,0.85,25.0,219.0,353.0,59.0,2.05,0.092,0.013,30.9,0.0,0.517,0.292,6.344,0.875,0.803,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.044,0.77,0.387,1.537,0.094,1.426,0.424,0.362,0.016,0.034,69.0
Pork_fresh_variety_meats_and_by-products_brain_raw,78.36,127.0,531.0,10.28,9.21,1.13,0.0,0.0,10.0,1.6,14.0,282.0,258.0,120.0,1.27,0.24,0.094,15.9,13.5,0.155,0.275,4.275,2.8,0.19,6.0,0.0,6.0,6.0,2.19,0.0,0.0,0.0,0.04,1.029,0.999,1.659,0.12,1.069,1.429,0.09,0.12,0.47,2195.0
Pork_cured_breakfast_strips_raw_or_unheated,47.41,388.0,1623.0,11.74,37.16,3.0,0.7,0.0,8.0,0.94,12.0,137.0,204.0,987.0,1.66,0.063,0.03,25.0,27.2,0.475,0.18,3.65,0.476,0.21,3.0,0.0,3.0,3.0,0.99,0.0,0.0,0.0,0.72,7.52,4.27,16.79,1.84,14.95,5.55,4.66,0.9,0.0,69.0
Pork_fresh_loin_sirloin_(chops_or_roasts)_boneless_separable_lean_and_fat_raw,73.16,133.0,555.0,22.49,4.05,1.28,0.0,0.0,9.0,0.55,22.0,247.0,354.0,63.0,1.7,0.069,0.011,36.7,0.0,0.6,0.252,7.239,0.721,0.6,0.0,0.0,0.0,0.0,0.49,3.0,3.0,8.0,0.052,0.867,0.456,1.722,0.1,1.595,0.708,0.6,0.021,0.06,63.0
Pork_fresh_shoulder_whole_separable_lean_only_raw,72.63,148.0,619.0,19.55,7.14,1.02,0.0,0.0,14.0,1.22,21.0,202.0,341.0,76.0,3.14,0.097,0.012,29.5,0.8,0.884,0.314,4.275,0.822,0.415,5.0,0.0,5.0,5.0,0.84,2.0,2.0,6.0,0.09,1.57,0.77,3.23,0.23,2.93,0.77,0.62,0.03,0.09,67.0
Pork_fresh_loin_top_loin_(roasts)_boneless_separable_lean_only_raw,73.28,132.0,553.0,22.39,4.06,1.01,0.0,0.0,5.0,0.54,26.0,225.0,374.0,49.0,1.8,0.058,0.007,27.7,0.0,0.443,0.187,5.745,0.745,0.755,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.045,0.782,0.404,1.595,0.094,1.476,0.409,0.349,0.013,0.034,63.0
Pork_fresh_shoulder_arm_picnic_separable_lean_only_raw,75.51,120.0,504.0,20.26,3.77,1.05,0.0,0.0,11.0,0.62,20.0,219.0,427.0,90.0,2.41,0.073,0.011,24.0,0.0,0.655,0.272,4.828,1.113,0.489,0.0,0.0,0.0,0.0,0.55,2.0,2.0,7.0,0.043,0.769,0.385,1.638,0.094,1.52,0.712,0.595,0.022,0.067,62.0
Pork_fresh_loin_top_loin_(chops)_boneless_separable_lean_and_fat_raw,70.38,155.0,647.0,21.55,6.94,0.97,0.0,0.0,7.0,0.5,26.0,226.0,373.0,48.0,1.55,0.056,0.007,33.1,0.0,0.667,0.185,7.988,0.727,0.726,0.0,0.0,0.0,0.0,0.53,1.0,1.0,4.0,0.088,1.523,0.805,2.985,0.166,2.771,0.878,0.763,0.033,0.051,67.0
Pork_fresh_loin_whole_separable_lean_only_raw,72.23,143.0,598.0,21.43,5.66,1.05,0.0,0.0,17.0,0.84,23.0,211.0,389.0,52.0,1.84,0.062,0.012,36.1,0.6,0.989,0.267,4.915,0.781,0.527,5.0,0.0,5.0,5.0,0.63,2.0,2.0,7.0,0.07,1.25,0.61,2.56,0.18,2.32,0.61,0.49,0.02,0.07,59.0
