,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU
Radish_seeds_sprouted_raw,90.07,43.0,180.0,3.81,2.53,0.53,3.6,51.0,0.86,113.0,86.0,6.0,0.102,0.103,2.853,0.0,0.0
Spinach_raw,91.4,23.0,97.0,2.86,0.39,1.72,3.63,99.0,2.71,49.0,558.0,79.0,0.078,0.189,0.724,0.0,0.0
Cabbage_red_raw,90.39,31.0,130.0,1.43,0.16,0.64,7.37,45.0,0.8,30.0,243.0,27.0,0.064,0.069,0.418,0.0,0.0
Endive_raw,93.79,17.0,71.0,1.25,0.2,1.41,3.35,52.0,0.83,28.0,314.0,22.0,0.08,0.075,0.4,0.0,0.0
Lettuce_butterhead_(includes_boston_and_bibb_types)_raw,95.63,13.0,55.0,1.35,0.22,0.57,2.23,35.0,1.24,33.0,238.0,5.0,0.057,0.062,0.357,0.0,0.0
Salsify_(vegetable_oyster)_raw,77.0,82.0,343.0,3.3,0.2,0.9,18.6,60.0,0.7,75.0,380.0,20.0,0.08,0.22,0.5,0.0,0.0
Beans_kidney_mature_seeds_sprouted_raw,90.7,29.0,121.0,4.2,0.5,0.5,4.1,17.0,0.81,37.0,187.0,6.0,0.37,0.25,2.92,0.0,0.0
Lettuce_iceberg_(includes_crisphead_types)_raw,95.64,14.0,58.0,0.9,0.14,0.36,2.97,18.0,0.41,20.0,141.0,10.0,0.041,0.025,0.123,0.0,0.0
Onions_sweet_raw,91.24,32.0,133.0,0.8,0.08,0.34,7.55,20.0,0.26,27.0,119.0,8.0,0.041,0.02,0.133,0.0,0.0
Radishes_oriental_raw,94.62,18.0,76.0,0.6,0.1,0.58,4.1,27.0,0.4,23.0,227.0,21.0,0.02,0.02,0.2,0.0,0.0
Mushrooms_shiitake_raw,89.74,34.0,141.0,2.24,0.49,0.73,6.79,2.0,0.41,112.0,304.0,9.0,0.015,0.217,3.877,0.4,18.0
Mushrooms_brown_italian_or_crimini_exposed_to_ultraviolet_light_raw,92.12,22.0,94.0,2.5,0.1,0.98,4.3,18.0,0.4,120.0,448.0,6.0,0.095,0.49,3.8,31.9,1276.0
Mushrooms_maitake_raw,90.37,31.0,130.0,1.94,0.19,0.53,6.97,1.0,0.3,74.0,204.0,1.0,0.146,0.242,6.585,28.1,1123.0
Borage_raw,93.0,21.0,88.0,1.8,0.7,1.44,3.06,93.0,3.3,53.0,470.0,80.0,0.06,0.15,0.9,0.0,0.0
Sweet_potato_raw_unprepared,77.28,86.0,359.0,1.57,0.05,0.99,20.12,30.0,0.61,47.0,337.0,55.0,0.078,0.061,0.557,0.0,0.0
Peppers_sweet_red_raw,92.21,31.0,129.0,0.99,0.3,0.47,6.03,7.0,0.43,26.0,211.0,4.0,0.054,0.085,0.979,0.0,0.0
Peas_mature_seeds_sprouted_raw,62.27,124.0,519.0,8.8,0.68,1.14,27.11,36.0,2.26,165.0,381.0,20.0,0.225,0.155,3.088,0.0,0.0
Lettuce_green_leaf_raw,94.98,15.0,62.0,1.36,0.15,0.62,2.87,36.0,0.86,29.0,194.0,28.0,0.07,0.08,0.375,0.0,0.0
Cowpeas_leafy_tips_raw,89.78,29.0,121.0,4.1,0.25,1.05,4.82,63.0,1.92,9.0,455.0,7.0,0.354,0.175,1.12,0.0,0.0
Seaweed_laver_raw,85.03,35.0,146.0,5.81,0.28,3.77,5.11,70.0,1.8,58.0,356.0,48.0,0.098,0.446,1.47,0.0,0.0
Mustard_spinach_(tendergreen)_raw,92.2,22.0,92.0,2.2,0.3,1.4,3.9,210.0,1.5,28.0,449.0,21.0,0.068,0.093,0.678,0.0,0.0
Gourd_white-flowered_(calabash)_raw,95.54,14.0,59.0,0.62,0.02,0.43,3.39,26.0,0.2,13.0,150.0,2.0,0.029,0.022,0.32,0.0,0.0
Pumpkin_leaves_raw,92.88,19.0,79.0,3.15,0.4,1.24,2.33,39.0,2.22,104.0,436.0,11.0,0.094,0.128,0.92,0.0,0.0
Yardlong_bean_raw,87.85,47.0,197.0,2.8,0.4,0.6,8.35,50.0,0.47,59.0,240.0,4.0,0.107,0.11,0.41,0.0,0.0
Beets_raw,87.58,43.0,180.0,1.61,0.17,1.08,9.56,16.0,0.8,40.0,325.0,78.0,0.031,0.04,0.334,0.0,0.0
Parsnips_raw,79.53,75.0,314.0,1.2,0.3,0.98,17.99,36.0,0.59,71.0,375.0,10.0,0.09,0.05,0.7,0.0,0.0
Kale_scotch_raw,87.0,42.0,176.0,2.8,0.6,1.28,8.32,205.0,3.0,62.0,450.0,70.0,0.07,0.06,1.3,0.0,0.0
Cabbage_chinese_(pak-choi)_raw,95.32,13.0,55.0,1.5,0.2,0.8,2.18,105.0,0.8,37.0,252.0,65.0,0.04,0.07,0.5,0.0,0.0
Dock_raw,93.0,22.0,92.0,2.0,0.7,1.1,3.2,44.0,2.4,63.0,390.0,4.0,0.04,0.1,0.5,0.0,0.0
Cabbage_raw,92.18,25.0,103.0,1.28,0.1,0.64,5.8,40.0,0.47,26.0,170.0,18.0,0.061,0.04,0.234,0.0,0.0
Squash_summer_crookneck_and_straightneck_raw,94.28,19.0,78.0,1.01,0.27,0.56,3.88,21.0,0.44,32.0,222.0,2.0,0.051,0.041,0.448,0.0,0.0
Eggplant_raw,92.3,25.0,104.0,0.98,0.18,0.66,5.88,9.0,0.23,24.0,229.0,2.0,0.039,0.037,0.649,0.0,0.0
