,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g","Lipids Fatty acids, total polyunsaturated g",Lipids Cholesterol mg
Fish_sheepshead_raw,77.97,108.0,452.0,20.21,2.41,1.09,0.0,21.0,0.46,32.0,313.0,404.0,71.0,0.39,0.031,0.609,0.728,0.518,50.0
Fish_grouper_mixed_species_raw,79.22,92.0,385.0,19.38,1.02,1.17,0.0,27.0,0.89,31.0,162.0,483.0,53.0,0.48,0.02,0.233,0.202,0.321,37.0
Fish_salmon_chum_raw,75.38,120.0,502.0,20.14,3.77,1.18,0.0,11.0,0.55,22.0,283.0,429.0,50.0,0.47,0.055,0.84,1.541,0.898,74.0
Crustaceans_crab_dungeness_raw,79.18,86.0,360.0,17.41,0.97,1.7,0.74,46.0,0.37,45.0,182.0,354.0,295.0,4.27,0.674,0.132,0.167,0.317,59.0
Fish_eel_mixed_species_raw,68.26,184.0,770.0,18.44,11.66,1.41,0.0,20.0,0.5,20.0,216.0,272.0,51.0,1.62,0.023,2.358,7.19,0.947,126.0
Mollusks_cuttlefish_mixed_species_raw,80.56,79.0,331.0,16.24,0.7,1.68,0.82,90.0,6.02,30.0,387.0,354.0,372.0,1.73,0.587,0.118,0.081,0.134,112.0
Mollusks_oyster_Pacific_raw,82.06,81.0,339.0,9.45,2.3,1.23,4.95,8.0,5.11,22.0,162.0,168.0,106.0,16.62,1.576,0.51,0.358,0.894,50.0
Fish_pollock_Alaska_raw_(not_previously_frozen),81.99,70.0,294.0,17.17,0.19,1.34,0.0,12.0,0.27,34.0,190.0,331.0,159.0,0.4,0.041,0.039,0.043,0.072,61.0
Mollusks_octopus_common_raw,80.25,82.0,343.0,14.91,1.04,1.6,2.2,53.0,5.3,30.0,186.0,350.0,230.0,1.68,0.435,0.227,0.162,0.239,48.0
Mollusks_oyster_eastern_wild_raw,89.04,51.0,213.0,5.71,1.71,0.82,2.72,59.0,4.61,18.0,97.0,156.0,85.0,39.3,2.858,0.474,0.253,0.528,40.0
Fish_perch_mixed_species_raw,79.13,91.0,381.0,19.39,0.92,1.24,0.0,80.0,0.9,30.0,200.0,269.0,62.0,1.11,0.15,0.185,0.152,0.368,90.0
Fish_trout_brook_raw_New_York_State,75.67,110.0,458.0,21.23,2.73,1.32,0.0,25.0,0.38,28.0,246.0,417.0,45.0,0.55,0.045,0.595,0.815,0.772,60.0
