,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg"
"Lamb_Australian_imported_fresh_leg_bottom_boneless_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",67.93,187.0,781.0,20.97,11.43,0.98,0.0,3.0
Lamb_New_Zealand_imported_tunnel-boned_leg_chump_off_shank_off_separable_lean_and_fat_raw,74.43,121.0,504.0,20.93,4.09,1.14,0.0,4.0
Lamb_New_Zealand_imported_breast_separable_lean_only_raw,71.69,149.0,624.0,18.31,7.98,1.0,1.02,13.0
"Lamb_Australian_imported_fresh_leg_sirloin_half_boneless_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",73.68,138.0,577.0,20.48,5.64,1.03,0.0,10.0
Lamb_New_Zealand_imported_chump_boneless_separable_lean_only_raw,74.58,121.0,507.0,21.68,3.83,1.24,0.0,4.0
Veal_shank_separable_lean_only_raw,77.96,94.0,392.0,19.77,1.64,0.98,0.0,11.0
"Lamb_domestic_leg_sirloin_half_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",61.32,261.0,1092.0,17.21,20.8,0.9,0.0,10.0
Lamb_New_Zealand_imported_heart_raw,77.84,105.0,441.0,18.09,3.68,1.13,0.0,5.0
Veal_variety_meats_and_by-products_thymus_raw,79.16,101.0,423.0,17.21,3.07,2.16,0.0,3.0
"Lamb_Australian_imported_fresh_tenderloin_boneless_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",72.45,136.0,570.0,23.42,4.73,1.09,0.0,2.0
Lamb_New_Zealand_imported_Intermuscular_fat_raw,25.36,640.0,2679.0,4.63,68.53,0.22,1.26,5.0
"Lamb_domestic_foreshank_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",67.01,201.0,841.0,18.91,13.38,0.95,0.0,11.0
"Lamb_domestic_shoulder_whole_(arm_and_blade)_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",72.99,144.0,602.0,19.55,6.76,1.04,0.0,15.0
Lamb_variety_meats_and_by-products_lungs_raw,79.7,95.0,397.0,16.7,2.6,1.1,0.0,10.0
Veal_variety_meats_and_by-products_liver_raw,70.89,140.0,586.0,19.93,4.85,1.42,2.91,5.0
"Lamb_domestic_leg_sirloin_half_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",60.3,272.0,1138.0,16.94,22.11,0.89,0.0,10.0
"Lamb_domestic_shoulder_whole_(arm_and_blade)_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",63.36,244.0,1021.0,17.07,18.96,0.91,0.0,16.0
Game_meat_rabbit_wild_raw,74.51,114.0,477.0,21.79,2.32,1.12,0.0,12.0
"Lamb_Australian_imported_fresh_shoulder_blade_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",71.62,164.0,686.0,19.1,9.09,0.87,0.0,19.0
Veal_Australian_rib_rib_roast_separable_lean_only_raw,71.26,134.0,561.0,21.7,4.63,1.01,1.4,10.0
"Lamb_domestic_cubed_for_stew_or_kabob_(leg_and_shoulder)_separable_lean_only_trimmed_to_1_slash_4""_fat_raw",73.74,134.0,561.0,20.21,5.28,1.06,0.0,9.0
"Lamb_domestic_leg_shank_half_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",74.44,125.0,523.0,20.52,4.19,1.08,0.0,6.0
Lamb_New_Zealand_imported_rack_-_fully_frenched_separable_lean_only_raw,71.67,147.0,613.0,20.61,7.12,0.97,0.0,8.0
"Lamb_Australian_imported_fresh_foreshank_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",75.13,123.0,515.0,20.83,3.81,0.93,0.0,11.0
"Lamb_Australian_imported_fresh_shoulder_whole_(arm_and_blade)_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",62.7,256.0,1071.0,16.68,20.47,0.78,0.0,18.0
Lamb_New_Zealand_imported_rack_-_partly_frenched_separable_lean_and_fat_raw,62.78,240.0,1003.0,18.12,18.52,0.84,0.13,10.0
Lamb_New_Zealand_imported_loin_chop_separable_lean_and_fat_raw,56.89,298.0,1248.0,15.4,26.19,0.82,0.22,14.0
Lamb_New_Zealand_imported_fore-shank_separable_lean_and_fat_raw,68.69,183.0,766.0,20.09,11.38,0.93,0.09,7.0
"Lamb_New_Zealand_imported_frozen_loin_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",59.95,273.0,1142.0,17.18,22.1,0.92,0.0,17.0
"Game_meat_bison_ribeye_separable_lean_only_trimmed_to_0""_fat_raw",74.0,116.0,485.0,22.1,2.4,1.2,0.0,6.0
Lamb_New_Zealand_imported_tenderloin_separable_lean_only_raw,74.35,116.0,487.0,20.53,3.81,1.35,0.0,4.0
Game_meat_caribou_raw,71.45,127.0,531.0,22.63,3.36,1.14,0.0,17.0
Game_meat_squirrel_raw,73.83,120.0,502.0,21.23,3.21,1.16,0.0,2.0
Game_meat_deer_raw,73.57,120.0,502.0,22.96,2.42,1.16,0.0,5.0
"Lamb_Australian_imported_fresh_shoulder_whole_(arm_and_blade)_separable_lean_only___trimmed_to_1_slash_8""_fat_raw",72.39,155.0,649.0,19.36,8.01,0.89,0.0,18.0
"Lamb_domestic_loin_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",72.55,143.0,598.0,20.88,5.94,1.06,0.0,12.0
Game_meat_muskrat_raw,69.35,162.0,678.0,20.76,8.1,1.18,0.0,25.0
Lamb_Australian_imported_fresh_separable_fat_raw,25.08,648.0,2711.0,6.27,68.87,0.35,0.0,19.0
Lamb_New_Zealand_imported_loin_saddle_separable_lean_only_raw,73.5,131.0,549.0,20.86,5.32,1.04,0.0,7.0
"Lamb_Australian_imported_fresh_leg_trotter_off_bone-in_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",68.68,175.0,734.0,21.95,9.73,0.96,0.0,3.0
Veal_variety_meats_and_by-products_pancreas_raw,70.6,182.0,761.0,15.0,13.1,1.3,0.0,19.0
Lamb_New_Zealand_imported_leg_chop_slash_steak_bone-in_separable_lean_only_raw,74.35,126.0,528.0,21.1,4.64,1.08,0.0,11.0
"Lamb_New_Zealand_imported_frozen_shoulder_whole_(arm_and_blade)_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",62.0,251.0,1050.0,17.19,19.74,0.94,0.0,17.0
Bison_ground_grass-fed_raw,71.59,146.0,611.0,20.23,7.21,0.91,0.05,11.0
Lamb_New_Zealand_imported_square-cut_shoulder_separable_lean_only_raw,72.51,154.0,643.0,19.72,8.3,0.98,0.0,12.0
